Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#4;2;service;35;88;68;0;108.96;108.96;108.96;109.96
#4;2;service;13;68;66;0;121.33;121.33;121.33;122.33
#4;2;service;48;66;47;0;122.75;122.75;122.75;123.75
#4;2;service;39;47;21;0;124.16;124.16;124.16;125.16
#4;2;service;74;21;0;0;126.4;126.4;126.4;127.4
#4;2;finish;0;0;0;0;203.56;203.56;203.56;204.56
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#5;1;start;0;78;78;0;0;0;0.0;1
#5;1;service;21;78;73;0;10.0;10.0;10.0;11.0
#5;1;service;71;73;68;0;48.95;48.95;48.95;49.95
#5;1;service;34;68;64;0;55.27;55.27;55.27;56.27
#5;1;service;31;64;63;0;73.38;73.38;73.38;74.38
#5;1;service;76;63;40;0;80.66;80.66;80.66;81.66
#5;1;service;29;40;19;0;96.19;96.19;96.19;97.19
#5;1;service;5;19;0;0;105.41;105.41;105.41;106.41
#5;1;finish;0;0;0;0;135.37;135.37;135.37;136.37
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#6;2;start;0;120;120;0;0;0;0.0;1
#6;2;service;38;120;106;0;9.22;9.22;9.22;10.22
#6;2;service;69;106;94;0;11.46;11.46;11.46;12.46
#6;2;service;56;94;85;0;17.86;17.86;17.86;18.86
#6;2;service;15;85;67;0;50.42;50.42;50.42;51.42
#6;2;service;51;67;53;0;54.02;54.02;54.02;55.02
#6;2;service;49;53;41;0;78.04;78.04;78.04;79.04
#6;2;service;68;41;25;0;138.46;138.46;138.46;139.46
#6;2;service;53;25;0;0;150.46;150.46;150.46;151.46
#6;2;finish;0;0;0;0;202.81;202.81;202.81;203.81
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#7;0;start;0;57;57;0;0;0;0.0;1
#7;0;service;1;57;43;0;9.43;9.43;9.43;10.43
#7;0;service;24;43;40;0;11.67;11.67;11.67;12.67
#7;0;service;58;40;37;0;15.79;15.79;15.79;16.79
#7;0;service;57;37;16;0;52.95;52.95;52.95;53.95
#7;0;service;37;16;2;0;57.95;57.95;57.95;58.95
#7;0;service;47;2;0;0;70.95;70.95;70.95;71.95
#7;0;finish;0;0;0;0;93.98;93.98;93.98;94.98
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#8;0;start;0;57;57;0;0;0;0.0;1
#8;0;service;62;57;35;0;58.94;58.94;58.94;59.94
#8;0;service;61;35;33;0;75.1;75.1;75.1;76.1
#8;0;service;28;33;26;0;80.2;80.2;80.2;81.2
#8;0;service;19;26;24;0;81.2;81.2;81.2;82.2
#8;0;service;9;24;20;0;84.36;84.36;84.36;85.36
#8;0;service;36;20;15;0;103.33;103.33;103.33;104.33
#8;0;service;14;15;8;0;115.33;115.33;115.33;116.33
#8;0;service;41;8;6;0;117.33;117.33;117.33;118.33
#8;0;service;66;6;0;0;148.14;148.14;148.14;149.14
#8;0;finish;0;0;0;0;194.54;194.54;194.54;195.54
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#9;3;start;0;140;140;0;0;0;0.0;1
#9;3;service;2;140;123;0;18.97;18.97;18.97;19.97
#9;3;service;63;123;103;0;27.46;27.46;27.46;28.46
#9;3;service;30;103;99;0;34.17;34.17;34.17;35.17
#9;3;service;3;99;82;0;68.0;68.0;68.0;69.0
#9;3;service;45;82;62;0;99.05;99.05;99.05;100.05
#9;3;service;46;62;44;0;107.3;107.3;107.3;108.3
#9;3;service;12;44;18;0;116.73;116.73;116.73;117.73
#9;3;service;8;18;6;0;123.44;123.44;123.44;124.44
#9;3;service;17;6;0;0;159.5;159.5;159.5;160.5
#9;3;finish;0;0;0;0;165.82;165.82;165.82;166.82
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#10;0;start;0;60;60;0;0;0;0.0;1
#10;0;service;52;60;37;0;9.9;9.9;9.9;10.9
#10;0;service;23;37;33;0;48.23;48.23;48.23;49.23
#10;0;service;44;33;12;0;49.23;49.23;49.23;50.23
#10;0;service;26;12;8;0;50.23;50.23;50.23;51.23
#10;0;service;11;8;6;0;56.31;56.31;56.31;57.31
#10;0;service;60;6;0;0;98.76;98.76;98.76;99.76
#10;0;finish;0;0;0;0;145.96;145.96;145.96;146.96
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
MAX TIME;;;;;;;;210.21;;
TOTAL;;;;;;;;;1693.42;1703.42
